SampleID	Group	Fermenter	Temperature	DaysPostTransplant 	Time	Stage
BF011	BF01	FF410	26.0 	0 	2020/10/24	BFS1
BF012	BF01	FF409	26.0 	0 	2020/10/24	BFS1
BF013	BF01	FF406	26.0 	0 	2020/10/24	BFS1
BF014	BF01	FF405	26.0 	0 	2020/10/24	BFS1
BF015	BF01	FF400	26.0 	0 	2020/10/24	BFS1
BF016	BF01	FF399	26.0 	0 	2020/10/24	BFS1
BF021	BF02	FF410	23.9 	7 	2020/10/30	BFS1
BF022	BF02	FF409	23.9 	7 	2020/10/30	BFS1
BF023	BF02	FF406	23.9 	7 	2020/10/30	BFS1
BF024	BF02	FF405	23.9 	7 	2020/10/30	BFS1
BF025	BF02	FF400	23.9 	7 	2020/10/30	BFS1
BF026	BF02	FF399	23.9 	7 	2020/10/30	BFS1
BF031	BF03	FF410	23.4 	14 	2020/11/6	BFS2
BF032	BF03	FF409	23.4 	14 	2020/11/6	BFS2
BF033	BF03	FF406	23.4 	14 	2020/11/6	BFS2
BF034	BF03	FF405	23.4 	14 	2020/11/6	BFS2
BF035	BF03	FF400	23.4 	14 	2020/11/6	BFS2
BF036	BF03	FF399	23.4 	14 	2020/11/6	BFS2
BF041	BF04	FF410	22.9 	21 	2020/11/13	BFS2
BF042	BF04	FF409	22.9 	21 	2020/11/13	BFS2
BF043	BF04	FF406	22.9 	21 	2020/11/13	BFS2
BF044	BF04	FF405	22.9 	21 	2020/11/13	BFS2
BF045	BF04	FF400	22.9 	21 	2020/11/13	BFS2
BF046	BF04	FF399	22.9 	21 	2020/11/13	BFS2
BF051	BF05	FF410	24.6 	28 	2020/11/20	BFS2
BF052	BF05	FF409	24.6 	28 	2020/11/20	BFS2
BF053	BF05	FF406	24.6 	28 	2020/11/20	BFS2
BF054	BF05	FF405	24.6 	28 	2020/11/20	BFS2
BF055	BF05	FF400	24.6 	28 	2020/11/20	BFS2
BF056	BF05	FF399	24.6 	28 	2020/11/20	BFS2
BF061	BF06	FF410	22.0 	35 	2020/11/27	BFS2
BF062	BF06	FF409	22.0 	35 	2020/11/27	BFS2
BF063	BF06	FF406	22.0 	35 	2020/11/27	BFS2
BF064	BF06	FF405	22.0 	35 	2020/11/27	BFS2
BF065	BF06	FF400	22.0 	35 	2020/11/27	BFS2
BF066	BF06	FF399	22.0 	35 	2020/11/27	BFS2
BF071	BF07	FF410	16.4 	42 	2020/12/4	BFS3
BF072	BF07	FF409	16.4 	42 	2020/12/4	BFS3
BF073	BF07	FF406	16.4 	42 	2020/12/4	BFS3
BF074	BF07	FF405	16.4 	42 	2020/12/4	BFS3
BF075	BF07	FF400	16.4 	42 	2020/12/4	BFS3
BF076	BF07	FF399	16.4 	42 	2020/12/4	BFS3
BF081	BF08	FF410	17.6 	49 	2020/12/11	BFS3
BF082	BF08	FF409	17.6 	49 	2020/12/11	BFS3
BF083	BF08	FF406	17.6 	49 	2020/12/11	BFS3
BF084	BF08	FF405	17.6 	49 	2020/12/11	BFS3
BF085	BF08	FF400	17.6 	49 	2020/12/11	BFS3
BF086	BF08	FF399	17.6 	49 	2020/12/11	BFS3
BF091	BF09	FF410	13.7 	56 	2020/12/18	BFS3
BF092	BF09	FF409	13.7 	56 	2020/12/18	BFS3
BF093	BF09	FF406	13.7 	56 	2020/12/18	BFS3
BF094	BF09	FF405	13.7 	56 	2020/12/18	BFS3
BF095	BF09	FF400	13.7 	56 	2020/12/18	BFS3
BF096	BF09	FF399	13.7 	56 	2020/12/18	BFS3
BF101	BF10	FF410	14.9 	63 	2020/12/25	BFS3
BF102	BF10	FF409	14.9 	63 	2020/12/25	BFS3
BF103	BF10	FF406	14.9 	63 	2020/12/25	BFS3
BF104	BF10	FF405	14.9 	63 	2020/12/25	BFS3
BF105	BF10	FF400	14.9 	63 	2020/12/25	BFS3
BF106	BF10	FF399	14.9 	63 	2020/12/25	BFS3
BF111	BF11	FF410	16.0 	70 	2021/1/1	BFS3
BF112	BF11	FF409	16.0 	70 	2021/1/1	BFS3
BF113	BF11	FF406	16.0 	70 	2021/1/1	BFS3
BF114	BF11	FF405	16.0 	70 	2021/1/1	BFS3
BF115	BF11	FF400	16.0 	70 	2021/1/1	BFS3
BF116	BF11	FF399	16.0 	70 	2021/1/1	BFS3
BF121	BF12	FF410	13.5 	77 	2021/1/8	BFS3
BF122	BF12	FF409	13.5 	77 	2021/1/8	BFS3
BF123	BF12	FF406	13.5 	77 	2021/1/8	BFS3
BF124	BF12	FF405	13.5 	77 	2021/1/8	BFS3
BF125	BF12	FF400	13.5 	77 	2021/1/8	BFS3
BF126	BF12	FF399	13.5 	77 	2021/1/8	BFS3
BF131	BF13	FF410	14.7 	84 	2021/1/15	BFS3
BF132	BF13	FF409	14.7 	84 	2021/1/15	BFS3
BF133	BF13	FF406	14.7 	84 	2021/1/15	BFS3
BF134	BF13	FF405	14.7 	84 	2021/1/15	BFS3
BF135	BF13	FF400	14.7 	84 	2021/1/15	BFS3
BF136	BF13	FF399	14.7 	84 	2021/1/15	BFS3
BF141	BF14	FF410	16.7 	91 	2021/1/22	BFS3
BF142	BF14	FF409	16.7 	91 	2021/1/22	BFS3
BF143	BF14	FF406	16.7 	91 	2021/1/22	BFS3
BF144	BF14	FF405	16.7 	91 	2021/1/22	BFS3
BF145	BF14	FF400	16.7 	91 	2021/1/22	BFS3
BF146	BF14	FF399	16.7 	91 	2021/1/22	BFS3
