#OTUID	FF011	FF012	FF013	FF014	FF015	FF016	FF021	FF022	FF023	FF024	FF025	FF026	FF031	FF032	FF033	FF034	FF035	FF036	FF041	FF042	FF043	FF044	FF045	FF046	FF051	FF052	FF053	FF054	FF055	FF056	FF061	FF062	FF063	FF064	FF065	FF066	FF071	FF072	FF073	FF074	FF075	FF076	FF081	FF082	FF083	FF084	FF085	FF086	FF091	FF092	FF093	FF094	FF095	FF096	FF101	FF102	FF103	FF104	FF105	FF106	FF111	FF112	FF113	FF114	FF115	FF116	FF121	FF122	FF123	FF124	FF125	FF126	FF131	FF132	FF133	FF134	FF135	FF136	FF141	FF142	FF143	FF144	FF145	FF146
ASV_1	79339	78724	79432	79529	79760	79152	77687	78923	74246	74273	77070	79269	38413	39650	55177	54982	39118	59714	7723	40193	32775	16933	24966	26481	18832	39919	13957	14184	23866	21507	15730	59688	32930	9767	27459	19315	18162	27875	19326	21764	21757	14001	14238	34659	23405	14975	34056	23195	21274	30152	37285	22995	47126	25740	18391	30924	46191	29850	30301	21665	35520	41276	41026	28080	60484	46109	19050	42989	36041	23544	36959	49676	36223	33318	40283	17329	56246	45307	42959	22392	29489	17324	32201	54636
ASV_2	41	66	47	118	38	60	68	97	55	908	90	174	415	10143	627	6178	1614	6630	589	17432	16203	13578	5546	24432	2163	4794	17117	23106	11790	11309	8491	5628	8032	16258	15402	28855	32318	29109	25470	33235	21131	36561	35585	28868	32462	33557	19917	28718	24091	30748	19686	39643	13670	34729	41529	30852	14221	26017	13815	39936	22310	20477	17685	26000	6303	19818	39801	21722	20223	18731	11347	17170	5297	27481	18364	28778	8558	18815	13909	37869	17805	31439	17407	11765
ASV_4	32	44	25	28	41	28	32	61	67	2571	95	59	729	8473	5018	8639	3212	4685	553	3873	17650	3520	3951	14083	1142	2484	4063	3551	15405	6185	5953	10192	2516	16721	16359	14872	19304	5582	9566	21089	17862	9083	9847	12393	16398	6167	20904	24958	27580	8358	17062	12817	14913	15819	11293	12974	13412	13878	13729	11614	16248	11362	13184	15730	6890	10642	12983	10954	15546	11314	11806	7277	10296	9461	12510	8666	8928	8346	14390	16774	15017	15724	24321	7081
ASV_3	86	47	92	38	52	64	66	30	75	72	147	72	39961	19861	16615	9562	35759	6768	71488	15398	11300	44820	43629	12853	54669	16115	43193	33693	27851	40054	37228	1647	13000	30769	18472	13433	6109	652	9654	616	8943	17688	5357	184	3090	2479	1803	145	3763	521	1905	776	177	260	1506	737	918	834	1611	152	2121	137	2033	4717	1013	99	1401	33	2374	5376	1973	152	613	1372	2471	8062	2284	503	1139	42	1867	3969	1335	86
ASV_5	21	18	11	8	2	6	12	5	39	18	15	16	37	518	1377	33	47	45	26	2051	267	182	615	70	2168	14204	518	3508	172	108	10254	333	19785	4347	1079	669	1431	13456	12149	291	5593	688	10405	1396	2151	1804	843	173	160	3537	1098	1158	107	419	4489	513	903	1029	139	657	436	558	1815	2551	156	365	3093	125	2834	7137	448	554	417	4079	3599	14416	333	3179	1224	976	6721	8938	1019	766
ASV_7	2	5	1	2	0	3	3	3	10	8	1	1	8	94	820	7	9	6	6	494	58	52	152	16	663	1862	114	794	37	30	1252	71	3074	594	130	147	217	2197	2091	64	622	114	2541	381	415	270	95	36	38	535	210	308	17	66	900	54	164	146	11	150	67	90	223	368	24	60	320	21	378	632	48	59	42	482	369	1095	49	388	157	119	780	840	96	111
ASV_8	65	604	322	66	150	345	522	604	3591	1630	1807	239	8	65	52	52	26	12	14	13	28	11	22	47	30	11	20	23	58	41	30	381	47	13	167	34	24	42	23	32	68	22	22	154	26	51	195	16	54	75	202	35	553	83	34	135	147	111	166	42	157	389	238	53	460	135	85	781	219	517	249	456	607	2001	350	45	599	434	130	63	104	46	115	3389
ASV_9	1	0	0	0	1	26	0	0	0	1	70	3	0	2	0	0	0	0	1	0	1	2	137	1	1	2	1	1	0	8	0	0	0	2	5	193	0	5	0	0	0	2	1	13	13	5085	7	14	18	4	13	10	44	52	1	0	0	9	10	12	0	6	3	0	1	45	42	40	9	2342	3324	298	4640	6	8	9	3	11	238	29	1345	3	66	5
ASV_12	2	5	5	3	7	3	16	3	36	9	31	7	4	24	2	11	7	127	6	13	28	7	63	53	21	31	22	6	40	14	21	70	9	23	34	74	49	24	19	25	123	6	10	24	12	998	101	38	60	27	42	23	222	76	44	66	34	67	168	88	65	143	214	19	245	143	127	126	104	425	504	103	1130	44	65	62	190	100	211	36	175	44	138	70
ASV_13	16	2	2	3	13	12	13	5	10	6	2	2	22	7	8	19	6	12	3	4	25	7	7	7	7	9	6	4	22	5	4	21	4	13	0	6	29	8	8	5	117	12	1	13	21	12	14	15	12	1742	33	10	20	50	17	57	63	228	439	199	69	63	3	0	59	44	9	15	7	23	1	73	33	1	12	0	79	52	3	2	0	6	13	10
ASV_14	0	1	1	0	4	1	7	1	26	1	9	7	4	1	1	9	1	14	2	1	5	2	18	4	3	4	0	3	11	0	4	23	7	9	7	15	12	9	2	13	38	2	2	11	8	359	10	13	18	14	22	3	60	19	8	31	50	136	338	141	17	18	19	4	50	7	25	51	21	316	391	88	768	8	29	10	70	48	99	6	162	13	43	33
ASV_15	0	3	0	0	2	7	27	4	79	2	7	3	1	4	1	12	2	83	3	6	4	6	6	1	4	8	1	3	21	1	3	11	2	8	5	13	15	4	5	2	81	1	4	12	0	134	15	2	17	63	22	7	32	33	0	35	94	34	229	21	36	39	11	25	202	43	33	30	17	95	296	19	371	19	54	30	72	34	58	11	97	16	73	36
ASV_16	0	0	0	0	0	2	0	0	0	0	11	1	0	1	0	0	0	36	0	0	0	0	27	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	747	1	1	0	0	6	3	20	13	0	0	0	0	2	0	0	1	0	0	0	8	0	21	2	443	438	60	634	1	4	1	0	0	26	7	192	0	15	1
ASV_19	16	136	82	19	28	68	129	169	606	370	369	66	0	2	9	3	5	0	1	5	0	1	3	2	1	0	6	3	1	0	0	23	8	1	5	4	0	1	2	1	4	1	3	11	0	2	2	3	3	4	7	0	14	0	4	1	3	2	3	3	6	13	5	1	24	3	1	20	5	3	5	17	4	40	6	2	29	14	1	0	1	2	3	106
ASV_18	0	0	0	0	0	2	0	0	0	0	14	0	0	0	0	0	0	1	0	0	0	1	26	0	0	0	1	0	0	1	0	0	0	3	1	20	0	2	0	0	0	2	0	0	0	468	0	2	3	22	12	3	1	11	0	2	6	4	12	1	0	0	30	0	0	0	0	0	12	331	446	57	402	0	2	17	0	13	52	11	241	1	33	0
ASV_23	4	0	0	1	1	2	14	5	13	0	0	3	1	4	1	6	3	35	0	1	6	0	1	32	3	19	2	3	2	5	6	25	4	18	7	11	9	0	1	17	120	1	3	7	3	6	18	2	8	26	15	3	37	12	19	64	52	287	476	58	2	15	26	10	11	27	40	14	2	7	45	16	237	18	2	24	97	28	11	0	29	21	27	30
ASV_17	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	20	0	0	1	0	0	0	0	0	0	0	0	1	30	0	1	1	0	0	1	0	0	2	335	0	2	0	0	0	1	0	2	0	0	0	0	0	12	1	0	0	1	0	0	0	27	1	233	499	23	649	2	3	2	0	0	47	7	187	0	12	0
ASV_22	0	0	0	0	0	10	0	0	0	3	6	0	0	1	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	0	1	468	0	0	2	0	2	0	0	9	0	0	0	0	0	1	0	0	1	0	0	7	7	0	1	309	393	88	469	0	7	2	0	0	8	10	140	0	12	0
ASV_24	1	1	1	1	4	1	41	0	15	4	14	2	0	3	0	10	3	7	0	0	20	3	12	39	1	2	1	1	3	6	1	8	0	4	5	9	1	21	3	11	47	1	2	12	7	24	17	4	21	9	8	5	1	4	3	22	147	211	307	198	48	6	93	1	46	12	23	47	79	0	43	46	1	13	18	16	55	21	2	0	23	19	3	30
ASV_20	1	1	1	0	2	0	7	1	2	0	1	1	3	0	0	0	2	26	2	1	1	0	0	0	2	2	0	0	1	0	0	13	3	2	1	4	7	1	0	4	2	8	1	8	2	0	10	1	3	6	12	0	20	7	2	4	12	18	1489	9	10	41	0	5	0	0	20	0	19	18	5	4	0	5	1	4	50	18	0	2	0	1	20	1
ASV_21	1	0	0	0	0	2	0	0	0	0	4	0	1	3	0	0	0	0	0	0	0	1	14	1	0	0	0	0	0	2	0	0	0	0	0	16	0	1	0	0	6	0	0	0	2	420	0	3	0	1	4	0	22	6	0	0	0	0	2	1	0	0	0	0	0	3	0	0	1	218	322	39	555	1	0	0	0	0	3	5	172	1	28	0
ASV_26	24	24	8	6	80	22	5	43	15	15	33	1	4	18	1	0	3	11	1	5	3	4	3	2	3	6	0	1	6	1	0	63	12	1	3	3	7	9	2	4	3	5	3	18	1	5	0	2	57	68	7	4	48	7	33	21	38	13	16	4	1	85	43	5	32	85	56	6	3	40	12	26	131	94	16	9	18	134	73	9	5	82	14	26
ASV_25	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	45	3	0	0	4	15	0	0	0	0	0	1	3	0	7	1	1	0	18	0	0	0	0	1	1	0	0	0	279	1	0	1	0	1	1	2	3	2	32	8	14	16	10	3	1	0	1	1	0	1	0	1	222	390	37	370	2	0	1	7	21	58	1	90	4	15	0
ASV_32	0	5	3	2	1	2	20	3	9	10	10	3	0	6	0	0	2	28	1	8	0	2	4	31	0	9	1	4	5	4	3	30	2	3	10	27	22	1	6	3	62	13	2	3	6	7	25	3	28	11	7	4	26	26	0	28	123	71	46	31	0	42	120	0	53	0	48	101	3	19	39	76	48	10	36	14	95	41	17	1	13	19	20	17
ASV_29	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1389	2	1	4	2	4
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1313	1	2	2	1	2	0	0	1	0	0	0	5	0	15	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1137	0	4	0	0	0	2	0	2	5	0	115	31	0	59	0	3	0	0	0	0	0	0
ASV_31	1	0	2	0	6	1	4	2	0	0	3	3	1	1	0	2	2	0	0	0	2	17	1	0	4	0	0	0	6	0	6	51	3	2	0	11	5	5	2	2	40	8	155	4	2	8	4	12	4	2	1	1	39	1	12	97	23	24	93	9	5	19	0	0	2	14	9	7	3	4	55	22	0	220	1	9	28	24	13	13	5	1	1	0
