OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned
ASV_3	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_4	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_5	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned
ASV_8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned
ASV_11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned
ASV_9	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_10	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Unassigned
ASV_12	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_13	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_14	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned
ASV_16	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned
ASV_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned
ASV_19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned
ASV_20	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned
ASV_15	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Unassigned
ASV_18	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unassigned
ASV_23	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_27	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_21	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Unassigned
ASV_25	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
